variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014
EVAYN,Receipt of payments from the VA this wave,Armed Forces,EVAANY,Did ... receive any benefit payments from the Department of Veterans Affairs at any time during the reference period?,Programs
EVBOW1,Percent of Business owned for first business,Value of Business,EBSJ1PEROWN,Percent ownership of first business owned as a job as of the end of the reference period.,Assets
EVBOW2,Percent of Business owned for second business,Value of Business,EBSJ2PEROWN,Percent ownership of second business owned as a job as of the end of the reference period.,Assets
EVISDENT,Frequency of dental visits in past 12 months,Medical Expenses,TVISDENT,How many visits has ... made to a dentist or other dental professional?,Health Care
EVISDOC,"Frequency of medical provider visits, past 12 months",Medical Expenses,TVISDOC,"How many times did ... see or talk to a doctor, nurse, or any other type of medical provider about his/her health?",Health Care
EWELAC21,"Did you attend job readiness to learn about resume writing, job interviewing, or building self-esteem",,EWELACTV2_1,"Did ... attend any job readiness training to learn about resume writing, job interviewing, or building self-esteem?",Programs
EWELAC22,"Did you attend a job search program or job club, or use a job resource center to find out about jobs, to schedule interviews, or to fill our applicati",,EWELACTV2_2,"Did ... attend any job search program or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications?",Programs
EWELAC23,"Did you attend training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?",,EWELACTV2_3,"Did ... attend any training to learn specific job skills, such as computers, car repair, nursing, day care work, or some other job skills?",Programs
EWELACT1,Did you attend classes to improve basic reading?,,EWELACTV1,Did ... attend any classes to improve basic reading or math skills?,Programs
EWELACT3,"Did ... attend job training because the state or county welfare office required it, or because you choose to do it, or for BOTH reasons?",,EWELACTV3,"Did ... attend training or using job resources because it was required, a choice, or both?",Programs
EWELACT4,"At any time since ... 1st, did ... participate in a work experience program, such as a community service job?",,EWELACTV4,Did ... participate in a work experience program in exchange for TANF?,Programs
EWHOPA1A,Government helped pay for YOUNGEST child's care,Child Care,EWHOPAID1,Did welfare or social service help pay for child care?,Child and Dependent Care
EWHOPA2A,Other parent helped pay for YOUNGEST child's care,Child Care,EWHOPAID3,Did non-resident parent help pay for child care?,Child and Dependent Care
EWHOPA3A,Employer helped pay for YOUNGEST child's care,Child Care,EWHOPAID2,Did employer help pay for child care,Child and Dependent Care
EWHOPA4A,Someone else helped pay for YOUNGEST child's care,Child Care,EWHOPAID5,Did an other option help pay for child care?,Child and Dependent Care
EWORKMOR,Child care problems hinder more time at work/school,Child Care,EWORKMORE,Did child care arrangements prevent reference parent from working or working more?,Child and Dependent Care
EWSBEG1,Time of day work began in job 1,Work Schedule,TJB1_WSBEG,What time of the day did ... begin work most days?,Labor Force
EWSBEG1,Time of day work began in job 1,Work Schedule,TJB2_WSBEG,What time of the day did ... begin work most days?,Labor Force
EWSDAY11,Worked Sundays in job 1,Work Schedule,EJB1_WSWHSUN,Worked on Sundays,Labor Force
EWSDAY12,Worked Mondays in job 1,Work Schedule,EJB1_WSWHMON,Worked on Mondays,Labor Force
EWSDAY13,Worked Tuesdays in job 1,Work Schedule,EJB1_WSWHTUE,Worked on Tuesdays,Labor Force
EWSDAY14,Worked Wednesdays in job 1,Work Schedule,EJB1_WSWHWED,Worked on Wednesdays,Labor Force
EWSDAY15,Worked Thursdays in job 1,Work Schedule,EJB1_WSWHTHU,Worked on Thursdays,Labor Force
EWSDAY16,Worked Fridays in job 1,Work Schedule,EJB1_WSWHFRI,Worked on Fridays,Labor Force
EWSDAY17,Worked Saturdays in job 1,Work Schedule,EJB1_WSWHSAT,Worked on Saturdays,Labor Force
EWSDAY21,Worked Sundays in job 2,Work Schedule,EJB2_WSWHSUN,Worked on Sundays,Labor Force
EWSDAY22,Worked Mondays in job 2,Work Schedule,EJB2_WSWHMON,Worked on Mondays,Labor Force
EWSDAY23,Worked Tuesdays in job 2,Work Schedule,EJB2_WSWHTUE,Worked on Tuesdays,Labor Force
EWSDAY24,Worked Wednesdays in job 2,Work Schedule,EJB2_WSWHWED,Worked on Wednesdays,Labor Force
EWSDAY25,Worked Thursdays in job 2,Work Schedule,EJB2_WSWHTHU,Worked on Thursdays,Labor Force
EWSDAY26,Worked Fridays in job 2,Work Schedule,EJB2_WSWHFRI,Worked on Fridays,Labor Force
EWSDAY27,Worked Saturdays in job 2,Work Schedule,EJB2_WSWHSAT,Worked on Saturdays,Labor Force
EWSDY11,Worked at home on Sundays in job1,Work Schedule,EJB1_WSHMSUN,Worked from home on Sundays,Labor Force
EWSDY12,Worked at home on Mondays in job1,Work Schedule,EJB1_WSHMMON,Worked from home on Mondays,Labor Force
EWSDY13,Worked at home on Tuesdays in job1,Work Schedule,EJB1_WSHMTUE,Worked from home on Tuesdays,Labor Force
EWSDY14,Worked at home on Wednesdays in job1,Work Schedule,EJB1_WSHMWED,Worked from home on Wednesdays,Labor Force
EWSDY15,Worked at home on Thursdays in job1,Work Schedule,EJB1_WSHMTHU,Worked from home on Thursdays,Labor Force
EWSDY16,Worked at home on Fridays in job1,Work Schedule,EJB1_WSHMFRI,Worked from home on Fridays,Labor Force
EWSDY17,Worked at home on Saturdays in job1,Work Schedule,EJB1_WSHMSAT,Worked from home on Saturdays,Labor Force
EWSDY21,Worked at home on Sundays in job2,Work Schedule,EJB2_WSHMSUN,Worked from home on Sundays,Labor Force
EWSDY22,Worked at home on Mondays in job2,Work Schedule,EJB2_WSHMMON,Worked from home on Mondays,Labor Force
EWSDY23,Worked at home on Tuesdays in job2,Work Schedule,EJB2_WSHMTUE,Worked from home on Tuesdays,Labor Force
EWSDY24,Worked at home on Wednesdays in job2,Work Schedule,EJB2_WSHMWED,Worked from home on Wednesdays,Labor Force
EWSDY25,Worked at home on Thursdays in job2,Work Schedule,EJB2_WSHMTHU,Worked from home on Thursdays,Labor Force
EWSDY26,Worked at home on Fridays in job2,Work Schedule,EJB2_WSHMFRI,Worked from home on Fridays,Labor Force
EWSDY27,Worked at home on Saturdays in job2,Work Schedule,EJB2_WSHMSAT,Worked from home on Saturdays,Labor Force
EWSEND2,Time of day work ended in job 2,Work Schedule,TJB2_WSEND,What time of the day did ... end work most days?,Labor Force
EWSHMWK1,Worked only at home in job 1,Work Schedule,EJB1_WSHMWRK,Were there any days when ... worked only from home?,Labor Force
EWSHMWK2,Worked only at home in job 2,Work Schedule,EJB2_WSHMWRK,Were there any days when ... worked only from home?,Labor Force
EWSHRS2,Number of hours per day in job2,Work Schedule,TJB1_WSEND,What time of the day did ... end work most days?,Labor Force
EWSJOB1,Type of schedule work for job 1,Work Schedule,EJB1_WSJOB,What is the best description of ... work schedule?,Labor Force
EWSJOB2,Type of schedule work for job 2,Work Schedule,EJB2_WSJOB,What is the best description of ... work schedule?,Labor Force
EWSMNR1,Reason for type of work schedule- job 1,Work Schedule,EJB1_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force
EWSMNR2,Reason for type of work schedule- job 2,Work Schedule,EJB2_WSMNR,What is the main reason ... worked this type of schedule?,Labor Force
EXMAR,Number of times married in lifetime,Edited Marital History,EXMAR,Number of times married,Marital History
ICERT,Ever earned this type of certificate,Certifications and Certificates,ECERT,"Has...earned an educational certificate at a college, university, community college, or trade school?",Education Enrollment
IPROCERT,Have a professional or state or industry cert,Certifications and Certificates,EPROCERT,Has...earned a professional certification or license?,Education Enrollment
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT1,"Certification or license issued by federal, state, or local government",Education Enrollment
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT2,Certification or license issued by professional or trade association,Education Enrollment
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT3,Certification or license issued by business or company,Education Enrollment
IWHOPCER,Who awarded this certification or license,Certifications and Certificates,EWHOCERT4,Certification or license issued by other group or organization,Education Enrollment
RAB1R1,1st reason applied for Pub Asst/AFDC/TANF 1st time,General Income,ETANFBRSN1,First reason TANF receipt began,Programs
RAB1R2,2nd reason applied for Pub Asst/AFDC/TANF 1st time,General Income,TTANFBRSN2,Recoded second reason TANF receipt began,Programs
RANYAGRE,Child support payments ever agreed to or awarded,Child Support,ECSAGREE,Have child support payments ever been court ordered or informally agreed to for person's child(ren)?,Programs
RAS1,Reason stopped AFDC/TANF the first time,General Income,TTANFERSN1,Recoded first reason TANF receipt ended,Programs
RCHAMPM,Military related health care coverage in this month,Health Insurance,EMLMTH,Edited Monthly Indicator for Military Coverage,Health Insurance
RCUOW21A,Person number of first owner of Gen Assist coverage,Coverage,EGAOWN,This question determines the owner of the GA benefits for this spell.,Programs
RCUOWN03,Person number of the owner of the Federal SSI coverage,Coverage,ESSI_OWNER,Who received payments on behalf of ... ?,Programs
RCUOWN25,Person number of the owner of the WIC coverage,Coverage,EWICOWN,This question determines the owner of the WIC benefits for this spell.,Programs
RCUTYP03,Federal SSI coverage flag,Coverage,RSSICOV,SSI coverage at any time during reference year,Programs
RCUTYP20,Public assistance payments program coverage flag,Coverage,RTANFCOV,TANF coverage at any time during reference year,Programs
RCUTYP21,General Assistance coverage flag,Coverage,RGACOV,GA coverage at any time during reference year,Programs
RCUTYP25,WIC coverage flag,Coverage,RWICCOV,WIC coverage at any time during reference year,Programs
RCUTYP27,food Stamp coverage flag,Coverage,RFSCOV,SNAP coverage at any time during reference year,Programs
RDESGPNT,Designated parent or guardian flag,Demographic,ERP,Identifies if adult is a reference parent to any household children under 18 years old,Child and Dependent Care
REMPDRSN,Reason for receipt of employer disability payments,General Income,EDISTYP2YN,Did ... receive employer disability payments?,Programs
RENROLL,Enrolled Full/Part sometime during 4 month period,Education,EEDFTPT,Asks whether spell of enrollment was full or part-time.,Education Enrollment
RENROLL,Enrolled Full/Part sometime during 4 month period,Education,RENROLL,Recode for monthly enrollment status,Education Enrollment
RESTARSN,Reason for receiving income from estates and trusts,General Income,ESURTYP11YN,Did ... receive Survivor Benefit payments from an estate or trust?,Programs
RFB1R2,2nd reason for applying for food stamps the 1st time,General Income,EFSBRSN2,Second reason FS receipt began.,Programs
RFCSRSN,Reason for receipt of federal civilian pension,General Income,EDISTYP4YN,Did ... receive disability income from a Federal civil service or other Federal civilian employee pension?,Programs
RFCSRSN,Reason for receipt of federal civilian pension,General Income,ERETTYP2YN,Did ... receive retirement income from a Federal civil service or other Federal civilian employee pension?,Programs
RFCSRSN,Reason for receipt of federal civilian pension,General Income,ESURTYP3YN,Did ... receive Survivor Benefits from Federal Civil Service or other Federal Civilian employee pension?,Programs
RFID,Family ID Number for this month,Family,RFAMNUM,Family number,Demographics
RFNKIDS,Total number of children under 18 in family,Family,RFRELU18,Number of persons in family under 18 years,Demographics
RFPOV,Poverty threshold for this family in this month,Family,RFPOV,"Family poverty threshold in this month, excluding Type 2 individuals",Poverty and Income
RGB1R1,1st reason applying for General Asst the 1st time,General Income,TGABRSN1,Recoded first reason GA receipt began,Programs
RGB1R2,2nd reason applying for General Asst the 1st time,General Income,TGABRSN2,Recoded second reason GA receipt began,Programs
RGED,Completed high school by GED or equivalency,Education,RGED,Did respondent complete high school by diploma or GED?,Education Enrollment
RGS1,Reason for stopping General Assist the 1st time,General Income,TGAERSN1,Recoded first reason GA receipt ended,Programs
RHHSTK,Equity in stocks and mutual fund shares,Real Estate,THVAL_STMF,"Household-level sum of value of stocks and mutual funds (TVAL_STMF) [this is household-level data, therefore this value is copied to every member of the household].",Assets
RHHUSCBT,Total Unsecured Debt,Real Estate,THDEBT_USEC,"Household-level sum of value of amount owed on all unsecured debt (TDEBT_USEC) [this is household-level data, therefore this value is copied to every member of the household].",Assets
RHPOV,Poverty threshold for this household in this month,Household,RHPOV,"Household poverty threshold in this month, excluding Type 2 individuals",Poverty and Income
RINSRSN,Reason for payment from own insurance policy,General Income,EDISTYP1YN,"Did ... receive payments from a sickness, accident, or disability insurance policy?",Programs
RINSRSN,Reason for payment from own insurance policy,General Income,EDISTYPTWO,"Did ... receive payments from a sickness, accident, or disability insurance policy that he/she purchased on his/her own?",Programs
RLGOVRSN,Reason for receipt of local government pension,General Income,EDISTYP6YN,Did ... receive disability income from a Local government pension?,Programs
RLGOVRSN,Reason for receipt of local government pension,General Income,ERETTYP4YN,Did ... receive retirement income from a Local government pension?,Programs
RLGOVRSN,Reason for receipt of local government pension,General Income,ESURTYP6YN,Did ... receive Survivor Benefits from a local government pension?,Programs
RLIFIRSN,Reason for payments from paid-up life ins. policy,General Income,ELIFEREG,Did ... retirement income from a paid-up life insurance policy or annuity come as a single lump-sum?,Programs
RLIFIRSN,Reason for payments from paid-up life ins. policy,General Income,ESURTYP7YN,Did ... receive Survivor Benefits from a paid-up life insurance policy or annuity?,Programs
RLNGISOL,Linguistic isolation,Demographic,RLNGISOL,"Recode indicating if respondent lives in a limited English-speaking household (a household in which no one 14 and over speaks English or speaks a language other than English at home and speaks English ""Very well"").",Demographics
RMESR,Employment status recode for month,Labor Force,RMESR,Recode for monthly employment status.,Labor Force
RMHRSWK,Usual hours worked per week recode in month,Labor Force,TMWKHRS,Average number of hours worked per week at all jobs held during the reference month.,Labor Force
RMILRSN,Reason for receipt of U.S. military retirement,General Income,EDISTYP7YN,Did ... receive disability income from a U.S. Military retirement?,Programs
RMILRSN,Reason for receipt of U.S. military retirement,General Income,ERETTYP5YN,Did ... receive retirement income from  Military retirement pay?,Programs
RMILRSN,Reason for receipt of U.S. military retirement,General Income,ESURTYP8YN,Did ... receive Survivor Benefits from a Military retirement pay?,Programs
RMWKLKG,Number of weeks looking for work/on layoff in month,Labor Force,RMWKLKG,Number of weeks looking for a job or on layoff during the month.,Labor Force
RMWKSAB,Number of weeks absent without pay from job in month,Labor Force,RMWKSAB,Number of weeks absent without pay from a job during the month.,Labor Force
RMWKWJB,Number of weeks with a job in month,Labor Force,RMWKWJB,Number of weeks with a job during the month.,Labor Force
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,EDISTYP10YN,Did ... receive disability income from other disability income?,Programs
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,ERETTYP8YN,Did ... receive retirement income from other retirement income?,Programs
ROTHRRSN,Reason for receipt of 'other' retirement income,General Income,ESURTYP13YN,Did ... receive other survivor income?,Programs
RPENSRSN,Reason for pension from company or union,General Income,EDISTYP3YN,Did ... receive disability income from a pension from a company or union including income from a profit-sharing plan?,Programs
RPENSRSN,Reason for pension from company or union,General Income,ERETTYP1YN,Did ... receive retirement income from a company or union including income from a profit-sharing plan?,Programs
RPENSRSN,Reason for pension from company or union,General Income,ESURTYP1YN,Did ... receive Survivor Benefits from a pension from a company or union including income from a profit-sharing plan?,Programs
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,EDISTYP8YN,Did ... receive disability income from a U.S. Government railroad retirement?,Programs
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,ERETTYP6YN,Did ... receive retirement income from U.S. Government railroad retirement?,Programs
RRRSN,Reason for receipt of Railroad Retirement pay,General Income,ESURTYP4YN,Did ... receive Survivor Benefits from the U.S. government railroad retirement?,Programs
RSB1R1,1st reason applying for SSI the 1st time,General Income,ESSI_BRSN1,Why did ... begin receiving SSI in ESSI_BMONTH? (First reason for receipt beginning in ESSI_BMONTH),Programs
RSB1R2,2nd reason applying for SSI the 1st time,General Income,TSSI_BRSN2,Why did ... begin receiving SSI in ESSI_BMONTH? (Recoded second reason for receipt beginning in ESSI_BMONTH),Programs
RSS1,Reason for stopping SSI the first time,General Income,TSSI_ERSN1,Why did ... stop receiving SSI in ESSI_EMONTH? (Recoded first reason for receipt ending in ESSI_EMONTH),Programs
RSTATRSN,Reason for receipt of state government pension,General Income,EDISTYP5YN,Did ... receive disability income from a State government pension?,Programs
RSTATRSN,Reason for receipt of state government pension,General Income,ERETTYP3YN,Did ... receive retirement income from a State government pension?,Programs
RSTATRSN,Reason for receipt of state government pension,General Income,ESURTYP5YN,Did ... receive Survivor Benefits from a state government pension?,Programs
RVETSRSN,Reason for receipt of Veterans' comp. or pensions,General Income,ESURTYP2YN,Did ... receive Survivor Benefits from Veterans' compensation or pension?,Programs
RWB1R1,First reason for applying for WIC the 1st time,General Income,EWICBRSN1,First reason WIC receipt began,Programs
RWB1R2,Second reason for applying for WIC the 1st time,General Income,TWICBRSN2,Recoded second reason WIC receipt began,Programs
RWCMPRSN,Reason for receipt of workers' compensation,General Income,ESURTYP10YN,Did ... receive Survivor Benefits from Workers' compensation?,Programs
RWKESR1,Employment Status Recode for Week 1,Labor Force,RWKESR1,Employment status recode for week 1,Labor Force
RWKESR2,Employment Status Recode for Week 2,Labor Force,RWKESR2,Employment status recode for week 2,Labor Force
RWKESR3,Employment Status Recode for Week 3,Labor Force,RWKESR3,Employment status recode for week 3,Labor Force
RWKESR4,Employment Status Recode for Week 4,Labor Force,RWKESR4,Employment status recode for week 4,Labor Force
RWKESR5,Employment Status Recode for Week 5,Labor Force,RWKESR5,Employment status recode for week 5,Labor Force
RWKSPERM,Number of weeks in this month,Labor Force,RWKSPERM,Number of weeks in the month,Labor Force
RWS1,Reason for stopping WIC the first time,General Income,EWICERSN1,First reason WIC receipt ended,Programs
T01AMTA,Amount of Social Security - Adult (ISS Code 1),General Income,TSSSAMT,"How much did ... receive in Social Security benefit payment in this month (1-12), including any deductions for Medicare premiums?",Programs
T01AMTK,Amount of Social Security - Child (ISS Code 1),General Income,TSSCAMT,How much did ... receive in Social Security benefit payment on behalf of a child(ren) in this month (1-12) of the reference period?,Programs
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TDIS8AMT,How much did ... receive in disability income from a U.S. Government railroad retirement this month (1-12)?,Programs
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TRET6AMT,How much retirement income did ... receive from a U.S. Government railroad retirement this month (1-12)?,Programs
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TSUR4AMT,How much survivor income did ... receive from the U.S. Government Railroad Retirement during this month (1-12)?,Programs
T02AMT,Amount of Railroad Retirement (ISS Code 2),General Income,TSUR7AMT,How much survivor income did ... receive from U.S. Government Railroad Retirement during this month (1-12)?,Programs
T03AMTA,Amount of Federal SSI - Adult (ISS Code 3),General Income,TSSI_AMT,SSI payment amount for this month,Programs
T05AMT,Amount of State unemployment compensation,General Income,TUC1AMT,"Amount of regular, government-provided Unemployment Compensation payments received in each month of reference period.",Programs
T06AMT,Amount of Supplemental Unemployment Benefits,General Income,TUC2AMT,"Amount of supplemental, employer-provided Unemployment Compensation payments received in each month of reference period.",Programs
T08AMT,Amount of Veterans compensation or pension,General Income,TSUR2AMT,How much survivor income did ... receive from Veterans' compensation during this month (1-12)?,Programs
T10AMT,Amount of workers' compensation (ISS Code 10),General Income,TSUR10AMT,Suppressed,Programs
T10AMT,Amount of workers' compensation (ISS Code 10),General Income,TWCAMT,How much did ... receive in workers' compensation in this month of the reference period (1-12)?,Programs
T13AMT,"Amount of own sickness, accident, disability insur.",General Income,TDIS1AMT,"How much did ... receive in payments from a sickness, accident, or disability insurance policy  this month (1-12)?",Programs
T14AMT,Amount of employer disability payments (ISS Code 14),General Income,TDIS2AMT,How much did ... receive in employer disability payments this month (1-12)?,Programs
T15AMT,Amount of severance pay (ISS Code 15),General Income,ELMPNOW,Did ... receive any severance pay or lump sum payments from a pension or retirement plan during the reference period?,Programs
T20AMT,Amount of public assistance payments (ISS Code 20),General Income,TTANF_AMT,TANF amount received in  this month,Programs
T21AMT,Amount of General Assistance or General Relief,General Income,TGA_AMT,GA amount received in this month,Programs
T23AMT,Amount of foster child care payments (ISS Code 23),General Income,TFCCAMT,Amount of foster child care payments received in each month of reference period.,Programs
T25AMT,Amount of WIC payments (ISS Code 25),General Income,TWICAMT,WIC amount received in this month,Programs
T27AMT,Amount of food stamps (ISS Code 27),General Income,TFS_AMT,Food stamps amount received in this month,Programs
T28AMT,Amount of child support payments (ISS Code 28),General Income,TCSAMT,Amount of child support payments received in each month of reference period.,Programs
T29AMT,Amount of alimony payments (ISS Code 29),General Income,TALIAMT,Amount of alimony  payments received in each month of reference period.,Programs
T30AMT,Amount of pension from a company or union,General Income,TDIS3AMT,How much did ... receive in disability income from a pension from a company or union including from a profit-sharing plan this month (1-12)?,Programs
T30AMT,Amount of pension from a company or union,General Income,TRET1AMT,How much retirement income did ... receive from a pension from a company or union including income from a profit sharing plan this month (1-12)?,Programs
T30AMT,Amount of pension from a company or union,General Income,TSUR1AMT,How much survivor income did ... receive in pension from a company or union including income from a profit-sharing plan during this month (1-12)?,Programs
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TDIS4AMT,How much did ... receive in Federal civil service or other federal civilian  employee pension this month (1-12)?,Programs
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TRET2AMT,How much retirement income did ... receive from a Federal civil service or other Federal civilian employee pension this month (1-12)?,Programs
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TSUR3AMT,How much survivor income did ... receive from the Federal Civil Service or other Federal civilian employee pension during this month (1-12)?,Programs
T31AMT,Amount of Federal Civil Service pension (ISS Code 31),General Income,TSUR6AMT,How much survivor income did ... receive from Federal Civil Service or other Federal civilian employee pension during this month (1-12)?,Programs
T32AMT,Amount of U.S. Military retirement pay,General Income,TDIS7AMT,How much did ... receive in disability income from a Military retirement pension this month (1-12)?,Programs
T32AMT,Amount of U.S. Military retirement pay,General Income,TRET5AMT,How much retirement income did ... receive from a Military retirement pay  this month (1-12)?,Programs
T32AMT,Amount of U.S. Military retirement pay,General Income,TSUR8AMT,How much survivor income did ... receive from military retirement pay during this month (1-12)?,Programs
T34AMT,Amount of State government pension (ISS Code 34),General Income,TDIS5AMT,How much did ... receive in disability income from a State government pension this month (1-12)?,Programs
T34AMT,Amount of State government pension (ISS Code 34),General Income,TSUR5AMT,How much survivor income did ... receive from a state government during this month (1-12)?,Programs
T35AMT,Amount of local government pension (ISS Code 35),General Income,TDIS6AMT,How much did ... receive in disability income from a Local government pension this month (1-12)?,Programs
T35AMT,Amount of local government pension (ISS Code 35),General Income,TRET3AMT,How much retirement income did ... receive from a State government pension this month (1-12)?,Programs
T35AMT,Amount of local government pension (ISS Code 35),General Income,TRET4AMT,How much retirement income did ... receive from a Local government pension this month (1-12)?,Programs
T36AMT,Amount of income from paid-up life insurance policy,General Income,TLIFEAMT,What was the total amount of life insurance payments ... received?,Programs
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TDIS10AMT,How much did ... receive in other disability income this month (1-12)?,Programs
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TRET8AMT,How much retirement income did ... receive from other retirement income this month (1-12)?,Programs
T38AMT,"Amt. from other retirement, disability or survivor",General Income,TSUR13AMT,How much other survivor income did ... receive during this month (1-12)?,Programs
T52AMT,Amount of lump sum payments (ISS Code 52),General Income,TLMPAMT,"What was the total amount of lump sum payments ... received during the reference period from a pension or retirement plan, or severance pay, or some other type of lump sum payment?",Programs
TA1AMT,Amount owed for 1st vehicle,Real Estate,TVEH1DEBTVAL,"Amount owed the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TA1YEAR,Car Year for First Vehicle,Real Estate,TVEH1_YEAR,Model year of the first vehicle that was reported,Assets
TA2AMT,Amount owed for second vehicle,Real Estate,TVEH2DEBTVAL,"Amount owed the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TA2YEAR,Car Year for Second Vehicle,Real Estate,TVEH2_YEAR,Model year of the second vehicle that was reported,Assets
TA3AMT,Amount owed for third vehicle,Real Estate,TVEH3DEBTVAL,"Amount owed the third vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
TA3YEAR,Car Year for Third Vehicle,Real Estate,TVEH3_YEAR,Model year of the third vehicle that was reported,Assets
TAGE,Age as of last birthday,Demographic,TAGE,Age as of last birthday,Demographics
TAGESS,Age Social Security Disability payments began,General Income,TSSAGESS,At what age did ... begin receiving social security benefits because of his/her disability?,Programs
TALICHA,Est of non-interest checking accounts in own name,Assets and Liabilities,TOCHKVAL,Value of individually-owned regular (non-interest-earning) checking accounts as of the last day of the reference period.,Assets
TALIDAB,Amount owed for store bills/credit cards in own name,Assets and Liabilities,TOCCDEBTVAL,Amount of credit card and store bills owed in own name only as of the last day of the reference period.,Assets
TALIDAO,Amount owed for other debt in own name,Assets and Liabilities,TOOTDEBTVAL,Amount of other debts owed in own name only as of the last day of the reference period.,Assets
TALJCHA,Estimate of a joint non-interest checking account,Assets and Liabilities,TJSCHKVAL,"Share of value of jointly-owned regular (non-interest-earning) checking accounts as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TALJDAB,Amt owed for store bills or credit cards with spouse,Assets and Liabilities,TJSCCDEBTVAL,Share of credit card debt or store bills owed jointly with a spouse or civil union partner as of the last day of the reference period.,Assets
TALJDAO,Amount owed for other debt with spouse,Assets and Liabilities,TJSOTDEBTVAL,Share of other debts owed jointly with a spouse or civil union partner as of the last day of the reference period.,Assets
TALLIV,Cash value of life insurance policies,Assets and Liabilities,TLIFE_CVAL,Cash value of life insurance policies as of the last day of the reference period.,Assets
TALRB,Market value of IRA account(s) in own name,Assets and Liabilities,TIRAKEOVAL,Value of IRA and KEOGH accounts as of the last day of the reference period.,Assets
TALSBV,Face Value of U.S. Savings Bonds,Assets and Liabilities,TOGOVSVAL,Value of individually-owned government securities as of the last day of the reference period.,Assets
TALTB,"Market value of 401k,403b,or thrift plan in own name",Assets and Liabilities,TTHR401VAL,"Value of 401k, 403b, 503b, and Thrift Savings Plan accounts as of the last day of the reference period.",Assets
TAMTAGEN,Amount that agency collected on your behalf,Child Support,TPTAG_AMT,How much did ... receive from  agency pass through child support this month (1-12)?,Programs
TBDJTINT,Amt of monthly interest from joint municipal bonds,Assets,TJSMCBDINC,"Share of total interest income earned over the reference period from jointly-owned municipal and corporate bonds [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TBDOINT,Amount of monthly int. from own municipal/corp bonds,Assets,TOMCBDINC,Total interest income earned over the reference period from individually-owned municipal and corporate bonds.,Assets
TBMSUM1,Income received this month,Business,TJB1_MSUM,Monthly earnings from job 1.,Labor Force
TBMSUM2,Income received this month,Business,TJB2_MSUM,Monthly earnings from job 2.,Labor Force
TBRSTATE,State or country of birth,Migration History,TBORNPLACE,Recoded Place of Birth,Demographics
TBSOCC1,Occupation code,Business,TJB1_OCC,Occupation code,Labor Force
TBYEAR,Year of birth,Demographic,TDOB_BYEAR,Year of birth,Demographics
TCARVAL2,Car value for second vehicle,Real Estate,TVEH2VAL,"Value of the second vehicle in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TCARVAL3,Car value for third vehicle,Real Estate,TVEH3VAL,"Value of the third vehicle in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
TCDJTINT,Amount of monthly interest from joint CDs,Assets,TJSCDINC,"Share of total interest income earned over the reference period from jointly-owned certificates of deposit [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TCDOINT,Amount of monthly interest from solely owned CDs,Assets,TOCDINC,Total interest income earned over the reference period from individually-owned certificates of deposit [for all respondents].,Assets
TCKJTINT,Amount of monthly interest from joint checking account,Assets,TJSICHKINC,"Share of total interest income earned over the reference period from jointly-owned interest-earning checking accounts [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
TCKOINT,Amount of monthly interest from own checking account,Assets,TOICHKINC,Total interest income earned over the reference period from individually-owned interest-earning checking accounts.,Assets
